                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3094,                 2.5973,                 1.0879,                0.32244,                0.20512,                 0.1018,                0.05455,                 1.5008,                  4.118,                 1.4099,              0.0002125,              0.0002125,              0.0002125
                      1,                 1.2782,                0.89468,                 1.0941,                0.20236,                0.38113,                0.23839,                0.14054,                 1.2818,                 5.6833,                 1.3401,             0.00041584,             0.00041584,             0.00041584
                      2,                 1.2299,                0.81683,                 1.1004,                0.11656,                0.26328,                0.09359,                0.05793,                 1.3512,                    inf,                 1.5118,             0.00059691,             0.00059691,             0.00059691
                      3,                 1.2368,                0.79383,                 1.0952,                0.01564,                 0.1088,                0.00755,                0.00523,                 1.9581,                    inf,                 11.561,             0.00075571,             0.00075571,             0.00075571
                      4,                 1.2245,                0.76696,                 1.0922,                 0.1298,                0.44151,                0.09222,                0.05072,                 1.4922,                 13.402,                 1.5959,             0.00089223,             0.00089223,             0.00089223
                      5,                  1.215,                0.76113,                 1.1055,                0.09965,                0.26479,                0.08352,                0.04744,                 1.4133,                 3.9613,                 1.5104,             0.00094062,             0.00094062,             0.00094062
                      6,                 1.2109,                0.75192,                 1.0778,                 0.7387,                 0.1887,                0.22957,                0.13505,                 1.6082,                 2.0183,                 1.7543,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.2371,                0.84146,                 1.1014,                0.69842,                0.32113,                0.32827,                 0.1703,                 1.4679,                 1.5256,                 1.4139,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.1938,                0.74011,                 1.0634,                0.62973,                0.36452,                 0.3242,                0.17311,                 1.2656,                 1.5995,                 1.2918,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.1414,                0.69681,                 1.0429,                0.32054,                0.31411,                0.28148,                0.16624,                 1.2388,                 1.2892,                 1.2703,               0.000755,               0.000755,               0.000755
                     10,                 1.1471,                0.72066,                  1.064,                0.51499,                0.34994,                0.40409,                0.23347,                 1.2595,                  1.107,                 1.2596,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.1664,                0.69033,                 1.0805,                0.53155,                0.42267,                0.44894,                0.26541,                 1.2111,                 1.0462,                 1.2467,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.1343,                0.67264,                 1.0559,                0.47091,                0.46553,                0.45253,                0.27957,                 1.2657,                 1.0245,                 1.2871,             0.00056938,             0.00056938,             0.00056938
                     13,                 1.1099,                0.66251,                  1.052,                0.46826,                0.48952,                0.45492,                 0.2763,                 1.2109,                0.98204,                 1.2582,              0.0005075,              0.0005075,              0.0005075
                     14,                 1.1119,                0.64194,                 1.0491,                0.52066,                0.43796,                0.43648,                0.25245,                 1.2284,                0.99047,                 1.2691,             0.00044563,             0.00044563,             0.00044563
                     15,                 1.1005,                0.63146,                 1.0469,                0.39973,                0.42489,                0.43391,                0.27522,                  1.209,                0.94988,                 1.2568,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.0765,                0.60931,                 1.0348,                0.41581,                0.48696,                0.45475,                0.27931,                  1.189,                0.91854,                  1.251,             0.00032188,             0.00032188,             0.00032188
                     17,                  1.065,                0.60737,                 1.0288,                0.57388,                0.41545,                0.46966,                0.28731,                 1.2061,                0.94089,                 1.2603,                0.00026,                0.00026,                0.00026
                     18,                 1.0534,                0.57643,                 1.0276,                0.51427,                0.55906,                0.51342,                0.32037,                 1.1873,                 0.8626,                 1.2472,             0.00019813,             0.00019813,             0.00019813
                     19,                 1.0523,                0.58534,                 1.0241,                0.47491,                0.55071,                0.52382,                0.32471,                 1.1638,                0.88633,                 1.2384,             0.00013625,             0.00013625,             0.00013625
